!Header: AG01, dimensions: REG*GDPEXPEND [6*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
others,Africa,Africa,impcost,1049.6143799
Intermediate,Africa,Africa,impcost,17307.179688
pdr,Asia,Africa,impcost,15.421417236
wht,Asia,Africa,impcost,134.10728455
gro,Asia,Africa,impcost,55.476345062
osd,Asia,Africa,impcost,61.707244873
others,Asia,Africa,impcost,587.98779297
Intermediate,Asia,Africa,impcost,39077.28125
pdr,Europe,Africa,impcost,8.7988395691
wht,Europe,Africa,impcost,1233.546875
gro,Europe,Africa,impcost,183.11019897
osd,Europe,Africa,impcost,15.974636078
others,Europe,Africa,impcost,596.0324707
Intermediate,Europe,Africa,impcost,79624.953125
pdr,N_America,Africa,impcost,4.0297093391
wht,N_America,Africa,impcost,1411.5335693
gro,N_America,Africa,impcost,742.96557617
osd,N_America,Africa,impcost,81.299156189
others,N_America,Africa,impcost,199.51025391
Intermediate,N_America,Africa,impcost,20334.849609
pdr,Oceania,Africa,impcost,0.20058554411
wht,Oceania,Africa,impcost,319.84439087
gro,Oceania,Africa,impcost,13.597872734
osd,Oceania,Africa,impcost,0.46737962961
others,Oceania,Africa,impcost,83.557243347
Intermediate,Oceania,Africa,impcost,2137.859375
pdr,S_America,Africa,impcost,1.407263875
wht,S_America,Africa,impcost,177.93722534
gro,S_America,Africa,impcost,246.97093201
osd,S_America,Africa,impcost,51.712238312
others,S_America,Africa,impcost,142.66517639
Intermediate,S_America,Africa,impcost,4528.4125977
pdr,Africa,Asia,impcost,3.7080392838
wht,Africa,Asia,impcost,40.010002136
gro,Africa,Asia,impcost,142.47286987
osd,Africa,Asia,impcost,157.28785706
others,Africa,Asia,impcost,2178.5678711
Intermediate,Africa,Asia,impcost,27543.464844
pdr,Asia,Asia,impcost,1253.7924805
wht,Asia,Asia,impcost,785.59509277
gro,Asia,Asia,impcost,1088.5090332
osd,Asia,Asia,impcost,572.72943115
others,Asia,Asia,impcost,12248.027344
Intermediate,Asia,Asia,impcost,941854.5625
pdr,Europe,Asia,impcost,11.257676125
wht,Europe,Asia,impcost,395.23721313
gro,Europe,Asia,impcost,630.5178833
osd,Europe,Asia,impcost,204.75514221
others,Europe,Asia,impcost,2069
Intermediate,Europe,Asia,impcost,450013.1875
pdr,N_America,Asia,impcost,51.795036316
wht,N_America,Asia,impcost,3228.6601563
gro,N_America,Asia,impcost,3043.7294922
osd,N_America,Asia,impcost,4160.7504883
others,N_America,Asia,impcost,5345.5405273
Intermediate,N_America,Asia,impcost,281467.375
pdr,Oceania,Asia,impcost,10.471096992
wht,Oceania,Asia,impcost,1358.3702393
gro,Oceania,Asia,impcost,509.34817505
osd,Oceania,Asia,impcost,320.56552124
others,Oceania,Asia,impcost,2515.3342285
Intermediate,Oceania,Asia,impcost,48040.746094
pdr,S_America,Asia,impcost,0.69907432795
wht,S_America,Asia,impcost,484.44387817
gro,S_America,Asia,impcost,1153.8881836
osd,S_America,Asia,impcost,2337.9143066
others,S_America,Asia,impcost,1697.5662842
Intermediate,S_America,Asia,impcost,38418.742188
pdr,Africa,Europe,impcost,19.258560181
wht,Africa,Europe,impcost,37.129600525
