!Header: AG01, dimensions: REG*GDPEXPEND [7*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
others,S_America,Oceania,exprev,52.753437042
osd,S_America,Oceania,exprev,5.2144260406
Intermediate,S_America,Oceania,exprev,863.60742188
others,ROW,Oceania,exprev,57.145126343
osd,ROW,Oceania,exprev,0.1549385041
Intermediate,ROW,Oceania,exprev,944.37762451
pdr,Africa,S_America,exprev,0.21539369226
wht,Africa,S_America,exprev,0.16999597847
gro,Africa,S_America,exprev,25.60266304
others,Africa,S_America,exprev,111.52117157
osd,Africa,S_America,exprev,0.37641969323
Intermediate,Africa,S_America,exprev,4067.5698242
pdr,Asia,S_America,exprev,8.4149370193
wht,Asia,S_America,exprev,11.470136642
gro,Asia,S_America,exprev,16.932712555
others,Asia,S_America,exprev,564.44909668
osd,Asia,S_America,exprev,1.65535748
Intermediate,Asia,S_America,exprev,37097.136719
pdr,Europe,S_America,exprev,5.6745977402
wht,Europe,S_America,exprev,185.93232727
gro,Europe,S_America,exprev,72.466346741
others,Europe,S_America,exprev,403.13183594
osd,Europe,S_America,exprev,95.982452393
Intermediate,Europe,S_America,exprev,57020.160156
pdr,N_America,S_America,exprev,80.308265686
wht,N_America,S_America,exprev,1045.6640625
gro,N_America,S_America,exprev,709.815979
others,N_America,S_America,exprev,784.46691895
osd,N_America,S_America,exprev,153.93798828
Intermediate,N_America,S_America,exprev,58324.863281
wht,Oceania,S_America,exprev,19.52299881
gro,Oceania,S_America,exprev,18.527000427
others,Oceania,S_America,exprev,14.037205696
osd,Oceania,S_America,exprev,0.075999997556
Intermediate,Oceania,S_America,exprev,1142.5662842
pdr,S_America,S_America,exprev,1.630792141
wht,S_America,S_America,exprev,619.66131592
gro,S_America,S_America,exprev,352.30050659
others,S_America,S_America,exprev,1772.5340576
osd,S_America,S_America,exprev,285.38812256
Intermediate,S_America,S_America,exprev,39289.355469
wht,ROW,S_America,exprev,0.02999898605
gro,ROW,S_America,exprev,0.2470318377
others,ROW,S_America,exprev,54.830848694
osd,ROW,S_America,exprev,0.26389527321
Intermediate,ROW,S_America,exprev,685.50567627
pdr,Africa,ROW,exprev,0.10387918353
wht,Africa,ROW,exprev,2.41129053756595E-0003
gro,Africa,ROW,exprev,3.7981026173
others,Africa,ROW,exprev,37.523914337
osd,Africa,ROW,exprev,1.2538183928
Intermediate,Africa,ROW,exprev,575.92022705
pdr,Asia,ROW,exprev,2.4815351963
wht,Asia,ROW,exprev,1.0165741444
gro,Asia,ROW,exprev,7.1663107872
others,Asia,ROW,exprev,108.74863434
osd,Asia,ROW,exprev,12.452132225
Intermediate,Asia,ROW,exprev,13267.307617
pdr,Europe,ROW,exprev,0.25532093644
wht,Europe,ROW,exprev,28.297079086
gro,Europe,ROW,exprev,45.903930664
others,Europe,ROW,exprev,312.27227783
osd,Europe,ROW,exprev,5.9931497574
Intermediate,Europe,ROW,exprev,24707.837891
pdr,N_America,ROW,exprev,0.3840149343
wht,N_America,ROW,exprev,27.716093063
gro,N_America,ROW,exprev,40.191833496
others,N_America,ROW,exprev,78.384468079
osd,N_America,ROW,exprev,8.2099990845
Intermediate,N_America,ROW,exprev,2767.1359863
pdr,Oceania,ROW,exprev,4.8430089951
wht,Oceania,ROW,exprev,14.898000717
gro,Oceania,ROW,exprev,1.4279999733
others,Oceania,ROW,exprev,25.225038528
osd,Oceania,ROW,exprev,3.3629999161
Intermediate,Oceania,ROW,exprev,1215.65979
pdr,S_America,ROW,exprev,0.35632461309
gro,S_America,ROW,exprev,1.2454200983
others,S_America,ROW,exprev,79.367042542
osd,S_America,ROW,exprev,5.8886427879
Intermediate,S_America,ROW,exprev,493.97210693
pdr,ROW,ROW,exprev,3.97340534254909E-0003
wht,ROW,ROW,exprev,6.5927782059
gro,ROW,ROW,exprev,1.7072210312
others,ROW,ROW,exprev,14.129447937
osd,ROW,ROW,exprev,0.5487832427
Intermediate,ROW,ROW,exprev,575.11254883
pdr,Africa,Africa,xtax,-0.42511856556
wht,Africa,Africa,xtax,-0.32936638594
gro,Africa,Africa,xtax,8.6948251724
others,Africa,Africa,xtax,35.634181976
osd,Africa,Africa,xtax,3.0056381226
Intermediate,Africa,Africa,xtax,130.42712402
pdr,Asia,Africa,xtax,-15.405106544
wht,Asia,Africa,xtax,2.3085267544
gro,Asia,Africa,xtax,-5.0684156418
others,Asia,Africa,xtax,32.513286591
osd,Asia,Africa,xtax,7.6397576332
Intermediate,Asia,Africa,xtax,-434.42575073
pdr,Europe,Africa,xtax,-2.2788043022
wht,Europe,Africa,xtax,-77.916526794
gro,Europe,Africa,xtax,-76.324195862
others,Europe,Africa,xtax,-58.742809296
osd,Europe,Africa,xtax,-0.23568212986
Intermediate,Europe,Africa,xtax,-2248.5507813
pdr,N_America,Africa,xtax,-0.085121914744
