!Header: AG01, dimensions: REG*GDPEXPEND [7*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
osd,Africa,N_America,exprev,11.298007011
others,Africa,N_America,exprev,726.66894531
Intermediate,Africa,N_America,exprev,25874.650391
pdr,Asia,N_America,exprev,37.420726776
wht,Asia,N_America,exprev,7.9199714661
gro,Asia,N_America,exprev,10.838873863
osd,Asia,N_America,exprev,26.458194733
others,Asia,N_America,exprev,1716.6156006
Intermediate,Asia,N_America,exprev,419422.4375
pdr,Europe,N_America,exprev,1.2407013178
wht,Europe,N_America,exprev,1.3317428827
gro,Europe,N_America,exprev,68.101554871
osd,Europe,N_America,exprev,74.262527466
others,Europe,N_America,exprev,1180.1463623
Intermediate,Europe,N_America,exprev,306179.5625
pdr,N_America,N_America,exprev,93.202690125
wht,N_America,N_America,exprev,665.66943359
gro,N_America,N_America,exprev,1212.6446533
osd,N_America,N_America,exprev,1622.435791
others,N_America,N_America,exprev,5519.9873047
Intermediate,N_America,N_America,exprev,453830.46875
pdr,Oceania,N_America,exprev,0.03599999845
wht,Oceania,N_America,exprev,0.075953744352
gro,Oceania,N_America,exprev,0.21121187508
osd,Oceania,N_America,exprev,8.5573253632
others,Oceania,N_America,exprev,151.63226318
Intermediate,Oceania,N_America,exprev,11717.941406
pdr,S_America,N_America,exprev,1.1764910221
wht,S_America,N_America,exprev,0.7647280097
gro,S_America,N_America,exprev,58.408817291
osd,S_America,N_America,exprev,194.8109436
others,S_America,N_America,exprev,5511.5981445
Intermediate,S_America,N_America,exprev,55392.863281
pdr,ROW,N_America,exprev,0.70883542299
wht,ROW,N_America,exprev,0.47241741419
gro,ROW,N_America,exprev,0.51557636261
osd,ROW,N_America,exprev,5.7596902847
others,ROW,N_America,exprev,65.878585815
Intermediate,ROW,N_America,exprev,4973.6420898
pdr,Africa,Oceania,exprev,0.043870575726
wht,Africa,Oceania,exprev,1.0590295792
gro,Africa,Oceania,exprev,0.95426988602
osd,Africa,Oceania,exprev,0.20223473012
others,Africa,Oceania,exprev,33.442016602
Intermediate,Africa,Oceania,exprev,997.16229248
pdr,Asia,Oceania,exprev,2.405800581
wht,Asia,Oceania,exprev,0.7036139369
gro,Asia,Oceania,exprev,0.99857890606
osd,Asia,Oceania,exprev,4.8644704819
others,Asia,Oceania,exprev,166.09443665
Intermediate,Asia,Oceania,exprev,32098.767578
pdr,Europe,Oceania,exprev,0.13455884159
wht,Europe,Oceania,exprev,0.52769738436
gro,Europe,Oceania,exprev,0.5229716897
osd,Europe,Oceania,exprev,0.99990689754
others,Europe,Oceania,exprev,76.939872742
Intermediate,Europe,Oceania,exprev,26043.890625
pdr,N_America,Oceania,exprev,0.10397636145
wht,N_America,Oceania,exprev,5.1218161583
gro,N_America,Oceania,exprev,1.5833464861
osd,N_America,Oceania,exprev,25.844614029
others,N_America,Oceania,exprev,98.080795288
Intermediate,N_America,Oceania,exprev,18885.345703
pdr,Oceania,Oceania,exprev,0.034002002329
wht,Oceania,Oceania,exprev,0.28778609633
gro,Oceania,Oceania,exprev,0.63987863064
osd,Oceania,Oceania,exprev,1.0481603146
others,Oceania,Oceania,exprev,66.956718445
Intermediate,Oceania,Oceania,exprev,5831.4716797
pdr,S_America,Oceania,exprev,0.098481588066
wht,S_America,Oceania,exprev,0.06005204469
